CODIGO CLIENTE;NF;VALOR PIX;PIX COPIA E COLA
Código Cliente;NF;Valor PIX;PIX Copia e Cola
0204-0141;1371149;331,42;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406331.425802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF1371149630484D9
0204-0013;1371154;165,20;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406165.205802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF1371154630499E8
0204-0135;1371157;255,96;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406255.965802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13711576304325C
0204-0145;1371158;289,92;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406289.925802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137115863048D43
0204-0095;1371160;266,88;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406266.885802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13711606304F48F
0200-0520;1371019;404,94;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406404.945802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710196304F028
0200-3068;1371032;3009,14;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br52040000530398654073009.145802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137103263048477
0200-0004;1371036;311,88;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406311.885802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137103663043509
0207-0282;1371037;492,42;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406492.425802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710376304CB36
0207-0338;1371038;143,52;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406143.525802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710386304C4C8
0207-0327;1371040;62,64;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br520400005303986540562.645802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710406304FA3E
0207-0251;1371041;177,96;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406177.965802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137104163045BA3
0207-0337;1371042;396,66;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406396.665802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710426304FF30
0207-0132;1371043;229,73;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406229.735802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710436304E499
